13,,ALL WORK SUMMARY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Chained volume measure, seasonally adjusted, 2011 prices",,,,"Chained volume measure, seasonally adjusted index number, 2011 = 100",,,,"Chained volume measure, non-seasonally adjusted, 2011 prices",,,,"Chained volume measure, non-seasonally adjusted index number, 2011 = 100",,,,"Current prices, non-seasonally adjusted",,,,"Implied deflator (2011=100), non-seasonally adjusted",,
,,,,,,,,,,,,,,,,,,,,,,,,
,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths
Date,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,£ million,%,%,,£ million,%,%,,£ million,%,%,,£ million,%,%,,£ million,%,%,,£ million,%,%
,,,,,,,,,,,,,,,,,,,,,,,,
1997,,"104,995",,,,86.2,,,,"104,995",,,,86.2,,,,"60,990",,,,58.1,,
1998,,"106,546",1.5,,,87.5,1.5,,,"106,546",1.5,,,87.5,1.5,,,"64,825",6.3,,,60.8,4.8,
1999,,"107,903",1.3,,,88.6,1.3,,,"107,903",1.3,,,88.6,1.3,,,"68,581",5.8,,,63.5,4.4,
2000,,"108,832",0.9,,,89.4,0.9,,,"108,832",0.9,,,89.4,0.9,,,"72,711",6,,,66.8,5.1,
2001,,"110,776",1.8,,,91,1.8,,,"110,776",1.8,,,91,1.8,,,"77,960",7.2,,,70.3,5.3,
2002,,"117,108",5.7,,,96.2,5.7,,,"117,108",5.7,,,96.2,5.7,,,"87,220",11.9,,,74.4,5.8,
2003,,"122,787",4.8,,,100.9,4.9,,,"122,787",4.8,,,100.9,4.9,,,"97,258",11.5,,,79.2,6.3,
2004,,"129,256",5.3,,,106.2,5.3,,,"129,256",5.3,,,106.2,5.3,,,"106,658",9.7,,,82.5,4.3,
2005,,"126,147",-2.4,,,103.6,-2.4,,,"126,147",-2.4,,,103.6,-2.4,,,"111,493",4.5,,,88.4,7.1,
2006,,"127,104",0.8,,,104.4,0.8,,,"127,104",0.8,,,104.4,0.8,,,"118,321",6.1,,,93.1,5.3,
2007,,"129,850",2.2,,,106.7,2.2,,,"129,850",2.2,,,106.7,2.2,,,"127,064",7.4,,,97.9,5.1,
2008,,"126,450",-2.6,,,103.9,-2.6,,,"126,450",-2.6,,,103.9,-2.6,,,"128,644",1.2,,,101.8,4,
2009,,"109,760",-13.2,,,90.2,-13.2,,,"109,760",-13.2,,,90.2,-13.2,,,"111,083",-13.7,,,101.2,-0.5,
